"nsimul","eta","rho_type","ARI_true_bind","ARI_true_vi","ARI_true_p05","ARI_true_argmax","ARI_exp_bind","ARI_exp_vi","ARI_exp_p05","ARI_exp_argmax","threshold","TP","FP","FN","TN","SHD","STD_SHD","F1","Sensitivity","Specificity","F1_within","F1_between","Wasserstein","Frobenius","Relative_Frobenius"
5,"0.5","rho0_1",0.858449477351916,0.532183954783882,0.617015578270767,0.629364557912521,0.858449477351916,0.532183954783882,0.617015578270767,0.629364557912521,0.819,120,12,166,482,178,0.228205128205128,0.574162679425837,0.41958041958042,0.975708502024291,0.693333333333333,0.507462686567164,0.364004738439888,51.3854250618121,0.276857740951041
5,"0.5","rho0_shift",0.604699634536318,0.30005572674228,0.0450182546225415,0.453614114968697,0.763561458864379,0.295817032801685,0.054854073623455,0.44366982710541,0.824,113,11,173,483,184,0.235897435897436,0.551219512195122,0.395104895104895,0.977732793522267,0.657534246575342,0.492424242424242,0.363128375920165,51.5000561845893,0.277475357982652
5,"0.5","rho0_SM",0.830037268574176,0.450512008251068,0.450512008251068,0.781446138081209,0.624468685090169,0.574117668119691,0.574117668119691,0.660392145479877,0.827,123,17,163,477,180,0.230769230769231,0.577464788732394,0.43006993006993,0.965587044534413,0.693333333333333,0.514492753623188,0.363272864301328,51.137733018536,0.275523209622936
5,"0.75","rho0_1",0.926103707446473,0.729981378026071,1,0.938982414418925,0.926103707446473,0.729981378026071,1,0.938982414418925,0.831,115,14,171,480,185,0.237179487179487,0.55421686746988,0.402097902097902,0.97165991902834,0.701986754966887,0.46969696969697,0.357242174624893,49.6813072695813,0.267676184085374
5,"0.75","rho0_shift",0.575613199223575,0.392353481682714,0.392353481682714,0.609176100969612,0.773499915009349,0.543774452942217,0.543774452942217,0.677795845572807,0.808,114,8,172,486,180,0.230769230769231,0.558823529411765,0.398601398601399,0.983805668016194,0.727272727272727,0.456692913385827,0.361735061039094,51.239506403484,0.276071550896979
5,"0.75","rho0_SM",0.534514715794204,0.532183954783882,0.658306308191233,0.514612861661005,0.969623408149754,0.668120818498376,0.942864816691287,0.916042140387229,0.816,125,12,161,482,173,0.221794871794872,0.591016548463357,0.437062937062937,0.975708502024291,0.718954248366013,0.518518518518518,0.358600791876172,49.0611428405533,0.264334821770431
5,"0.9","rho0_1",0.926103707446473,0.729981378026071,1,0.836233539371137,0.926103707446473,0.729981378026071,1,0.836233539371137,0.827,124,7,162,487,169,0.216666666666667,0.594724220623501,0.433566433566434,0.98582995951417,0.718954248366013,0.522727272727273,0.360219523145039,49.6877946588304,0.267711137263829
5,"0.9","rho0_shift",0.513473053892216,0.475106780565937,0.59014741448808,0.514066496163683,0.80176316416488,0.702682392916653,1,0.822738386308069,0.804,113,11,173,483,184,0.235897435897436,0.551219512195122,0.395104895104895,0.977732793522267,0.675675675675676,0.480916030534351,0.359681722473814,50.4258668166432,0.271687770521705
5,"0.9","rho0_SM",0.621690969397334,0.55329251530676,0.577760114022585,0.494547729710404,0.827919952176265,0.692109365631371,1,0.893499365092369,0.844,135,8,151,486,159,0.203846153846154,0.629370629370629,0.472027972027972,0.983805668016194,0.767295597484277,0.548148148148148,0.356756856861765,49.1077896985151,0.264586148750839
6,"CSDA","None",NA,NA,NA,NA,NA,NA,NA,NA,0.254,48,3,238,491,241,0.308974358974359,0.28486646884273,0.167832167832168,0.993927125506073,0.25,0.302222222222222,0.584469968627365,100.637911920168,0.504933812226805
6,"0","rho0_1",0.539428887564899,0.410392197986577,0.244576446280992,0.539428887564899,0.539428887564899,0.410392197986577,0.244576446280992,0.539428887564899,0.823,141,41,145,453,186,0.238461538461538,0.602564102564103,0.493006993006993,0.917004048582996,0.693333333333333,0.559748427672956,0.371444241800862,62.0671679162204,0.311411585476047
6,"0.5","rho0_1",0.970172540381791,0.532183954783882,0.825021753317381,0.926103707446473,0.970172540381791,0.532183954783882,0.825021753317381,0.926103707446473,0.829,123,16,163,478,179,0.229487179487179,0.578823529411765,0.43006993006993,0.967611336032389,0.638888888888889,0.548042704626335,0.370763030987894,58.6167787675193,0.294099837713418
6,"0.5","rho0_shift",0.469044324420837,0.387656059683313,0.0261190015063482,0.481644438333563,0.544123751884463,0.458216394304326,0.0464936229167515,0.515088379595403,0.85,143,41,143,453,184,0.235897435897436,0.608510638297872,0.5,0.917004048582996,0.684563758389262,0.573208722741433,0.372068655463126,60.8903783830834,0.305507241737011
6,"0.5","rho0_SM",0.699912891986063,0.532183954783882,0.532183954783882,0.657222023596711,0.802043678621519,0.668120818498376,0.668120818498376,0.893499365092369,0.837,119,15,167,479,182,0.233333333333333,0.566666666666667,0.416083916083916,0.969635627530364,0.629370629370629,0.534296028880866,0.370051305291421,58.3276524931047,0.292649195215281
6,"0.75","rho0_1",0.906334059177661,0.729981378026071,0.825021753317381,0.926103707446473,0.906334059177661,0.729981378026071,0.825021753317381,0.926103707446473,0.83,122,20,164,474,184,0.235897435897436,0.570093457943925,0.426573426573427,0.959514170040486,0.629370629370629,0.540350877192982,0.372398838763457,58.3278033510126,0.292649952119484
6,"0.75","rho0_shift",0.563472563472563,0.447420519389775,0.473789187159752,0.538499642247785,0.572334522393975,0.429301044416389,0.642583024984821,0.693706405409723,0.83,122,18,164,476,182,0.233333333333333,0.572769953051643,0.426573426573427,0.963562753036437,0.638888888888889,0.539007092198582,0.369260157088864,58.6956247229308,0.294495434045704
6,"0.75","rho0_SM",0.679782732268048,0.532183954783882,0.577760114022585,0.60588643971452,0.815393883756957,0.668120818498376,1,0.815393883756957,0.85,151,67,135,427,202,0.258974358974359,0.599206349206349,0.527972027972028,0.864372469635628,0.666666666666667,0.571428571428571,0.377572143726934,62.9341118694349,0.315761331083158
